task_id,repo,branch,status,depends_on,title,scope,implementation_notes,test_plan,done_when
FE-000,printmomentum_fe,main,done,,Bootstrap Vite React 19,Health UI + Vitest + proxy. On main.,Do not re-scaffold.,`npm test` App health mock.,App renders; tests pass.
FE-001,printmomentum_fe,feat/FE-001-router-layout,todo,FE-000,Router and app shell,"Routes: / feed, /listings/:id. Header with product name.",react-router. Layout component. No Next.js.,Test: render feed route heading PrintMomentum.,Navigation works; tests pass.
FE-002,printmomentum_fe,feat/FE-002-api-client,todo,FE-001,Typed API client,fetch wrapper for listings + health. Types match BE JSON.,Throw ApiError with status. Base /api.,Mock fetch list + 500.,Client types compile; unit tests pass.
FE-003,printmomentum_fe,feat/FE-003-listing-feed,todo,FE-002,Feed of ranked print tees,"Cards: image, title, price, days-to-top, momentum.",Default print-tee only (backend default). Loading skeletons.,Mock 2 listings; assert titles and days-to-top visible. Empty array empty-state copy.,Feed matches skill printmomentum-ui.
FE-004,printmomentum_fe,feat/FE-004-filters,todo,FE-003,Feed filters,"maxDaysToTop, minScore, search q. URL query sync.",Changing filter refetches. Debounce q 300ms.,Test: set maxDaysToTop=7 calls API with param.,Filters reflected in request URL.
FE-005,printmomentum_fe,feat/FE-005-listing-detail,todo,FE-003,Listing detail page,Sparkline from snapshots; Etsy outbound link.,404 UI if API 404. rel=noreferrer.,Mock detail; assert etsy link href. 404 message.,Detail + outbound link tested.
FE-006,printmomentum_fe,feat/FE-006-error-retry,todo,FE-003,Error and retry UX,Problem+json title; Retry button.,Do not infinite refetch.,Mock 503 then success after retry click.,Retry recovers feed.
FE-007,printmomentum_fe,feat/FE-007-api-key-header,todo,"FE-002,BE-015",Send X-Api-Key from env,VITE_API_KEY for local; never commit real key.,Dev only in .env.local. Document.,Unit: fetch called with header.,Header present in client tests.
FE-008,printmomentum_fe,feat/FE-008-responsive,todo,FE-003,Desktop and mobile feed layout,"Grid 3-col desktop, 1-col 375px.",CSS only; no new lib required.,Optional: screenshot or CSS unit via class names. `npm run build`.,Layout usable at 375 and 1280 (manual note in PR).
FE-009,printmomentum_fe,feat/FE-009-ci,todo,FE-000,GitHub Actions CI,npm test && npm run build on PR.,Node 22.,Workflow file present.,CI green on main.
INF-001,printmomentum_be,feat/INF-001-aws-readme,todo,"BE-001,BE-012",AWS target architecture notes,"Document ECS/Fargate or Elastic Beanstalk, RDS MariaDB, S3, secrets.","docs/AWS.md only, no real deploy. Call out S3 is files not DB.",Markdown reviewed in PR.,Doc lists services and env vars.
INF-002,printmomentum_fe,feat/INF-002-static-hosting,todo,FE-003,Frontend deploy notes,S3+CloudFront or Amplify; API CORS origins.,docs/DEPLOY.md.,PR review.,CORS origin for production domain documented.

# =============================================================================
# CURSOR PROMPT — CSV satiri degil. Asagidaki blogu kopyala, sadece TASK_ID degistir.
# =============================================================================
#
# PrintMomentum task TASK_ID yi uygula.
#
# Kaynak: bu CSV (veya ilgili repodaki docs/TASKS.csv). TASK_ID satirini tamamen oku (repo, branch, depends_on, scope, implementation_notes, test_plan, done_when). Baska taska dokunma, scope genisletme, "bonus" ekleme.
#
# Repo: satirindaki repo klasorunde calis (printmomentum_be veya printmomentum_fe). Branch: CSV'deki branch adini main'den (veya depends_on merge edildiyse guncel main'den) olustur; zaten varsa onu kullan.
#
# Skill / kural: AGENTS.md, .cursor/rules ve .cursor/skills icindeki ilgili skill'leri oku ve uy. Etsy/Spring/React dokumanini internetten yeniden arastirma; skill'de yoksa sor. Etsy HTML scrape yasak; sadece resmi Open API v3.
#
# Kod: mevcut stile uy, temiz, okunur, kucuk fonksiyonlar, net isimler. Entity'yi JSON'a sizma. Secret / .env / API key commit etme.
#
# Test: test_plan'daki komutlari calistir ve done_when'i kanitla. Kirilan test birakma.
#
# Git: ben onaylamadan commit, push, force-push, amend yapma. PR acma.
#
# Bitince kisa rapor: degisen dosyalar, nasil test ettin, done_when saglandi mi, sonraki adim ne.
#
